Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CYLD	CYLD1, KIAA0849, USPL2	ENSG00000083799	CYLD lysine 63 deubiquitinase	16	50742050-50801935	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB011713, HPA050095	Approved		Supported	Nucleoplasm<br>Microtubule organizing center		Expressed in all	Expressed in all			testis: 70.2	Expressed in all		
DAXX	DAP6	ENSG00000204209	Death domain associated protein	6	33318558-33329286	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB002224, HPA008736, HPA008797, CAB025546, HPA065779	Enhanced		Enhanced	Nucleus<br>Nuclear bodies	Renal cancer:6.32e-7 (unfavourable), Breast cancer:6.05e-4 (favourable)	Expressed in all	Mixed			epididymis: 19.3	Mixed		
DCTN1		ENSG00000204843	Dynactin subunit 1	2	74361154-74392087	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB009108, HPA034635	Approved		Supported	Intermediate filaments<br>Centrosome<br>Cytosol	Renal cancer:2.34e-7 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 209.3	Expressed in all		
DDIT3	CHOP, CHOP10, GADD153	ENSG00000175197	DNA damage inducible transcript 3	12	57516588-57520517	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA058416, HPA068416	Approved		Supported	Nucleoplasm	Liver cancer:6.55e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 263.6	Expressed in all		
DDR2	NTRKR3, TKT, TYRO10	ENSG00000162733	Discoidin domain receptor tyrosine kinase 2	1	162631373-162787400	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA070112			Supported	Plasma membrane<br>Actin filaments	Renal cancer:1.73e-7 (unfavourable)	Expressed in all	Mixed			adrenal gland: 93.5	Cell line enhanced		ASC diff: 203.0;ASC TERT1: 203.2;BJ hTERT+: 181.9
DDX10	HRH-J8	ENSG00000178105	DEAD-box helicase 10	11	108665025-108940930	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA004691	Approved		Approved	Nucleoli	Renal cancer:2.14e-5 (favourable), Liver cancer:2.52e-5 (unfavourable), Pancreatic cancer:5.75e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 29.2	Expressed in all		
DDX3X	DBX, DDX14, DDX3, HLP2	ENSG00000215301	DEAD-box helicase 3, X-linked	X	41333348-41364472	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA001648, HPA005631, HPA059585	Supported	Approved	Approved	Nucleus<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 274.6	Expressed in all		
DDX5	G17P1, HLR1, p68	ENSG00000108654	DEAD-box helicase 5	17	64499616-64508199	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB005868, HPA020043	Supported		Enhanced	Nucleoplasm	Colorectal cancer:2.12e-4 (favourable)	Expressed in all	Expressed in all			smooth muscle: 599.5	Expressed in all		
DDX6	HLR2, RCK	ENSG00000110367	DEAD-box helicase 6	11	118747766-118791149	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004668, HPA024201, HPA026644	Approved		Supported	Cytosol<br>Cytoplasmic bodies	Liver cancer:6.56e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 65.6	Expressed in all		
DEK	D6S231E	ENSG00000124795	DEK proto-oncogene	6	18223868-18264823	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB015226, HPA054505, HPA057799	Enhanced		Enhanced	Nucleus	Renal cancer:3.45e-4 (unfavourable), Liver cancer:9.65e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 158.8	Mixed		
DICER1	Dicer, HERNA, K12H4.8-LIKE, KIAA0928, MNG1	ENSG00000100697	Dicer 1, ribonuclease III	14	95086228-95158010	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA000694, CAB068185	Approved		Supported	Cytosol		Expressed in all	Expressed in all			placenta: 32.6	Expressed in all		
DNAJB1	Hsp40, HSPF1, RSPH16B, Sis1	ENSG00000132002	DnaJ heat shock protein family (Hsp40) member B1	19	14514770-14529770	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB017450, HPA063247	Enhanced		Enhanced	Nucleus<br>Cytosol	Renal cancer:5.96e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 348.8	Expressed in all		
DNM2	CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII	ENSG00000079805	Dynamin 2	19	10718079-10833488	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA054246	Enhanced		Approved	Golgi apparatus<br>Cytosol	Liver cancer:3.63e-4 (unfavourable), Head and neck cancer:8.91e-4 (favourable)	Expressed in all	Expressed in all			colon: 103.9	Expressed in all		
DNMT3A		ENSG00000119772	DNA methyltransferase 3 alpha	2	25227855-25342590	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009469, HPA026588	Approved		Supported	Nucleoplasm	Pancreatic cancer:1.18e-4 (favourable), Endometrial cancer:1.55e-4 (unfavourable), Liver cancer:1.58e-4 (unfavourable), Renal cancer:2.49e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 22.8	Cell line enhanced		NTERA-2: 59.7;SH-SY5Y: 76.5
DROSHA	Etohi2, HSA242976, RN3, RNASE3L, RNASEN	ENSG00000113360	Drosha ribonuclease III	5	31400497-31532196	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level						Liver cancer:1.39e-4 (unfavourable), Endometrial cancer:6.79e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 30.5	Expressed in all		
EBF1	EBF, OLF1	ENSG00000164330	Early B-cell factor 1	5	158695916-159099761	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA061169			Approved	Nucleoplasm<br>Vesicles	Renal cancer:9.62e-7 (unfavourable), Stomach cancer:7.80e-4 (unfavourable)	Mixed	Tissue enhanced		adipose tissue: 41.6	placenta: 16.2	Cell line enhanced		ASC diff: 27.3;HSkMC: 22.6;REH: 81.2
ECT2L	ARHGEF32, C6orf91, FBXO49, LFDH	ENSG00000203734	Epithelial cell transforming 2 like	6	138795926-138904070	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA035488	Uncertain					Not detected	Tissue enriched	7	fallopian tube: 18.3	lung: 2.7	Not detected		
EGFR	ERBB, ERBB1	ENSG00000146648	Epidermal growth factor receptor	7	55019021-55211628	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB000035, HPA001200, HPA018530, CAB068186, CAB073534	Enhanced		Enhanced	Plasma membrane	Urothelial cancer:2.04e-5 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 100.0	skin: 58.7	Cell line enriched	15	A-431: 4682.9
EIF3E	eIF3-p48, eIF3e, EIF3S6, INT6	ENSG00000104408	Eukaryotic translation initiation factor 3 subunit E	8	108201216-108435333	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA023973	Approved		Enhanced	Nuclear bodies<br>Cytosol	Renal cancer:3.06e-7 (unfavourable)	Expressed in all	Expressed in all			ovary: 731.0	Expressed in all		
EIF4A2	BM-010, DDX2B, EIF4A, EIF4F	ENSG00000156976	Eukaryotic translation initiation factor 4A2	3	186783205-186789900	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB011690, HPA068286	Uncertain		Approved	Cytosol		Expressed in all	Expressed in all			ovary: 726.0	Expressed in all		
ELF4	ELFR, MEF	ENSG00000102034	E74 like ETS transcription factor 4	X	130064874-130110716	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA058595, HPA060277	Enhanced		Supported	Nucleoplasm<br>Nuclear bodies	Renal cancer:6.49e-6 (unfavourable), Urothelial cancer:1.42e-4 (favourable)	Expressed in all	Mixed			placenta: 34.9	Mixed		
ELK4	SAP1	ENSG00000158711	ELK4, ETS transcription factor	1	205597556-205631962	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028863	Uncertain		Supported	Nucleoplasm	Renal cancer:2.94e-6 (unfavourable), Head and neck cancer:4.65e-4 (favourable)	Expressed in all	Expressed in all			prostate: 42.8	Expressed in all		
ELL	C19orf17, ELL1, Men, PPP1R68	ENSG00000105656	Elongation factor for RNA polymerase II	19	18442663-18522127	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA046076	Uncertain					Expressed in all	Expressed in all			testis: 25.2	Expressed in all		
ELN	SVAS, WBS, WS	ENSG00000049540	Elastin	7	74027789-74069907	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB010750, HPA018111, HPA056941	Supported		Approved	Plasma membrane	Thyroid cancer:6.29e-4 (unfavourable)	Expressed in all	Mixed			smooth muscle: 125.8	Cell line enhanced		BJ: 121.3;fHDF/TERT166: 160.9;U-2197: 748.2
EML4	C2orf2, ELP120, ROPP120	ENSG00000143924	Echinoderm microtubule associated protein like 4	2	42169350-42332548	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA036687, HPA036688, HPA065337	Enhanced		Supported	Intermediate filaments<br>Microtubules<br>Cytosol		Expressed in all	Mixed			placenta: 50.5	Expressed in all		
EP300	KAT3B, p300	ENSG00000100393	E1A binding protein p300	22	41091786-41180079	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB000146, HPA003128, HPA004112	Supported		Enhanced	Nucleoplasm	Renal cancer:7.45e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 46.2	Expressed in all		
EPAS1	bHLHe73, HIF2A, HLF, MOP2, PASD2	ENSG00000116016	Endothelial PAS domain protein 1	2	46293667-46386703	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA031200, HPA069697			Supported	Nucleoplasm<br>Cytosol	Renal cancer:2.63e-4 (favourable)	Expressed in all	Expressed in all			placenta: 642.0	Cell line enhanced		U-138 MG: 279.3
EPS15	AF-1P, MLLT5	ENSG00000085832	Epidermal growth factor receptor pathway substrate 15	1	51354263-51519328	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA008451, CAB010164, HPA061431	Approved		Enhanced	Vesicles<br>Cytosol	Cervical cancer:6.44e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 84.6	Expressed in all		
ERBB2	CD340, HER-2, HER2, NEU, NGL	ENSG00000141736	Erb-b2 receptor tyrosine kinase 2	17	39687914-39730426	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000043, HPA001060, HPA001338, HPA001383, CAB020416, CAB062555	Enhanced		Supported	Plasma membrane<br>Cytosol	Renal cancer:2.41e-14 (favourable), Endometrial cancer:8.99e-8 (unfavourable), Pancreatic cancer:9.17e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 124.5	Cell line enriched	22	SK-BR-3: 2343.7
ERBB3	HER3, LCCS2	ENSG00000065361	Erb-b2 receptor tyrosine kinase 3	12	56079857-56103505	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB025331, HPA045396	Uncertain		Approved	Plasma membrane<br>Actin filaments		Expressed in all	Mixed			small intestine: 86.8	Cell line enhanced		Hep G2: 79.5;SK-BR-3: 77.6;SK-MEL-30: 109.7;T-47d: 108.2;WM-115: 145.7
ERBB4	ALS19, HER4	ENSG00000178568	Erb-b2 receptor tyrosine kinase 4	2	211375717-212538841	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB000276, HPA012016, CAB025522	Enhanced					Tissue enhanced	Tissue enhanced		fallopian tube: 17.8	cerebral cortex: 7.6	Group enriched	5	AF22: 6.8;EFO-21: 4.8;HEK93: 3.5;RPTEC TERT1: 4.2;SCLC-21H: 3.7;T-47d: 4.8
ERC1	CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2	ENSG00000082805	ELKS/RAB6-interacting/CAST family member 1	12	990509-1495933	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA019513, HPA019523, HPA024130	Approved		Supported	Vesicles<br>Plasma membrane<br>Cytosol	Urothelial cancer:7.01e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 17.1	Expressed in all		
ERG	erg-3, p55	ENSG00000157554	ERG, ETS transcription factor	21	38380027-38661780	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB018377, HPA046598	Approved		Approved	Nucleoplasm<br>Cytosol	Cervical cancer:6.18e-6 (unfavourable), Renal cancer:3.94e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 36.8	Cell line enhanced		HUVEC TERT2: 115.5;MOLT-4: 38.1;REH: 138.0;TIME: 92.4
ESR1	Era, ESR, NR3A1	ENSG00000091831	Estrogen receptor 1	6	151656691-152129619	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000037, HPA000449, HPA000450, CAB055099, CAB072858	Enhanced		Approved	Nucleus<br>Vesicles	Endometrial cancer:5.47e-7 (favourable)	Group enriched	Group enriched	8	breast: 37.6;cervix, uterine: 127.8;endometrium: 180.8;fallopian tube: 106.4;smooth muscle: 76.5	seminal vesicle: 13.5	Group enriched	11	MCF7: 34.7;T-47d: 53.2
ETNK1	EKI, EKI1	ENSG00000139163	Ethanolamine kinase 1	12	22625075-22690665	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010712, HPA029407	Approved		Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Urothelial cancer:1.75e-4 (favourable), Liver cancer:5.85e-4 (unfavourable)	Expressed in all	Expressed in all			stomach: 45.6	Expressed in all		
ETV1	ER81	ENSG00000006468	ETS variant 1	7	13891228-13991425	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA077249			Approved	Nucleoplasm		Expressed in all	Tissue enhanced		cerebral cortex: 106.3	lung: 43.1	Cell line enhanced		SCLC-21H: 93.4;U-87 MG: 152.1;WM-115: 77.6
ETV4	E1A-F, E1AF, PEA3	ENSG00000175832	ETS variant 4	17	43527844-43579620	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005768	Approved		Supported	Nucleoli	Liver cancer:2.48e-4 (unfavourable), Thyroid cancer:7.60e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 30.3	cerebral cortex: 13.6	Cell line enhanced		AN3-CA: 164.6;SK-MEL-30: 152.6
ETV5	ERM	ENSG00000244405	ETS variant 5	3	186046308-186110318	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009590, HPA063065	Approved		Supported	Nucleoplasm	Liver cancer:7.85e-9 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 114.5	cerebral cortex: 74.7	Cell line enhanced		SK-MEL-30: 141.2
ETV6	TEL	ENSG00000139083	ETS variant 6	12	11649854-11895402	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000264	Enhanced		Enhanced	Nucleoli<br>Cytosol	Renal cancer:4.66e-8 (unfavourable), Urothelial cancer:1.54e-5 (favourable), Pancreatic cancer:9.38e-5 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 26.4	Cell line enhanced		HDLM-2: 80.8
EWSR1	EWS	ENSG00000182944	EWS RNA binding protein 1	22	29268009-29300525	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004230, HPA051771, HPA062953	Enhanced		Enhanced	Nucleus<br>Nucleoli	Liver cancer:1.27e-6 (unfavourable), Renal cancer:1.21e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 213.6	Expressed in all		
EZH2	ENX-1, EZH1, KMT6, KMT6A	ENSG00000106462	Enhancer of zeste 2 polycomb repressive complex 2 subunit	7	148807383-148884321	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB009589	Enhanced		Supported	Nucleoplasm	Renal cancer:8.18e-12 (unfavourable), Liver cancer:2.11e-6 (unfavourable), Melanoma:1.96e-4 (unfavourable), Stomach cancer:6.97e-4 (favourable)	Expressed in all	Tissue enhanced		testis: 50.5	bone marrow: 30.0	Expressed in all		
EZR	VIL2	ENSG00000092820	Ezrin	6	158765741-158819412	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004035, HPA021616, CAB047324, CAB075739	Enhanced		Enhanced	Plasma membrane	Renal cancer:9.56e-8 (favourable), Pancreatic cancer:1.70e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 537.0	Expressed in all		
FAM131B	KIAA0773	ENSG00000159784	Family with sequence similarity 131 member B	7	143353400-143362770	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA021371, HPA029992			Enhanced	Nucleoplasm<br>Cytosol		Tissue enriched	Tissue enriched	8	cerebral cortex: 63.8	parathyroid gland: 7.5	Cell line enhanced		CACO-2: 11.5;NTERA-2: 22.2;PC-3: 19.9;SCLC-21H: 25.4
FAM46C	FLJ20202	ENSG00000183508	Family with sequence similarity 46 member C	1	117605934-117628372	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA054049	Uncertain		Approved	Nucleoplasm	Renal cancer:2.77e-5 (favourable), Endometrial cancer:3.75e-5 (favourable)	Expressed in all	Mixed			testis: 58.7	Cell line enhanced		Karpas-707: 208.6;RPMI-8226: 124.6;U-266/70: 61.2
FAS	APO-1, APT1, CD95, FAS1, TNFRSF6	ENSG00000026103	Fas cell surface death receptor	10	88990582-89015785	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA027444	Enhanced		Approved	Plasma membrane<br>Cytosol		Expressed in all	Mixed			rectum: 32.9	Cell line enhanced		Karpas-707: 104.1
FAT1	CDHF7, CDHR8, FAT	ENSG00000083857	FAT atypical cadherin 1	4	186587783-186726722	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA001869, HPA023882	Approved				Lung cancer:4.22e-4 (unfavourable)	Expressed in all	Mixed			smooth muscle: 37.6	Cell line enhanced		fHDF/TERT166: 221.3
FAT4	CDHF14, CDHR11, FAT-J	ENSG00000196159	FAT atypical cadherin 4	4	125316399-125492932	Cancer-related genes, Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA052819	Approved		Approved	Cytosol	Renal cancer:1.89e-4 (favourable)	Mixed	Mixed			parathyroid gland: 9.6	Cell line enhanced		HUVEC TERT2: 11.5;TIME: 17.8
FBXO11	FBX11, UBR6	ENSG00000138081	F-box protein 11	2	47789316-47905793	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA002690			Supported	Nucleus		Expressed in all	Expressed in all			testis: 75.4	Expressed in all		
FBXW7	AGO, CDC4, FBW7, FBX30, FBXW6, FLJ11071, SEL-10, SEL10	ENSG00000109670	F-box and WD repeat domain containing 7	4	152321259-152536101	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB013793, CAB029987	Supported		Supported	Nucleoplasm<br>Vesicles	Renal cancer:1.52e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 87.4	Expressed in all		
FCGR2B	CD32, CD32B, FCG2, FCGR2	ENSG00000072694	Fc fragment of IgG receptor IIb	1	161663147-161678654	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB007796, HPA014730	Enhanced				Renal cancer:8.82e-4 (unfavourable)	Mixed	Tissue enriched	16	placenta: 576.7	adipose tissue: 36.6	Cell line enhanced		Daudi: 18.5;HMC-1: 27.5;RPMI-8226: 8.1
FCRL4	CD307d, FCRH4, IGFP2, IRTA1	ENSG00000163518	Fc receptor like 4	1	157573749-157598080	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA054030	Approved					Not detected	Tissue enhanced		appendix: 3.6;lymph node: 4.4;tonsil: 9.6	spleen: 1.1	Cell line enriched	36	U-266/70: 3.5
FES	FPS	ENSG00000182511	FES proto-oncogene, tyrosine kinase	15	90883695-90895776	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001376	Approved		Approved	Nucleus<br>Vesicles<br>Cytosol	Colorectal cancer:5.78e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 96.5	Cell line enhanced		HEL: 56.3;HL-60: 45.0;HMC-1: 100.9;NB-4: 46.6;THP-1: 73.8
FEV	Pet-1	ENSG00000163497	FEV, ETS transcription factor	2	218981087-218985657	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067679		Supported	Supported	Nuclear speckles	Pancreatic cancer:4.85e-4 (favourable)	Group enriched	Tissue enhanced		adrenal gland: 2.1;duodenum: 2.9;prostate: 1.9;stomach: 2.4	small intestine: 1.6	Group enriched	6	HMC-1: 22.4;SH-SY5Y: 34.6
FGFR1	BFGFR, CD331, CEK, FLG, FLT2, H2, H3, H4, H5, KAL2, N-SAM	ENSG00000077782	Fibroblast growth factor receptor 1	8	38411138-38468834	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB033614, HPA056402, HPA076274	Approved		Supported	Nucleoli		Expressed in all	Expressed in all			cervix, uterine: 109.5	Cell line enhanced		AN3-CA: 602.2
FGFR1OP	FOP	ENSG00000213066	FGFR1 oncogene partner	6	166999182-167052713	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA071876			Supported	Centrosome	Renal cancer:7.32e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 105.4	Expressed in all		
FGFR2	BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25	ENSG00000066468	Fibroblast growth factor receptor 2	10	121478334-121598458	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010886, HPA035305, HPA056562	Uncertain		Approved	Vesicles	Cervical cancer:8.79e-4 (favourable), Head and neck cancer:9.32e-4 (favourable)	Expressed in all	Mixed			skin: 129.4	Cell line enhanced		AN3-CA: 169.6;BEWO: 58.8;HAP1: 61.4;NTERA-2: 58.4
FGFR3	ACH, CD333, CEK2, JTK4	ENSG00000068078	Fibroblast growth factor receptor 3	4	1793307-1808872	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB004231, HPA067204	Enhanced		Supported	Endoplasmic reticulum	Endometrial cancer:3.77e-4 (unfavourable)	Expressed in all	Tissue enriched	7	skin: 333.1	cerebral cortex: 49.4	Cell line enhanced		CACO-2: 41.4;Hep G2: 56.1;NTERA-2: 37.4;RT4: 81.0
FGFR4	CD334, JTK2	ENSG00000160867	Fibroblast growth factor receptor 4	5	177086886-177098144	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB005196, HPA027273, HPA027369, HPA028251	Approved					Mixed	Tissue enhanced		lung: 38.9	duodenum: 21.4	Cell line enhanced		CACO-2: 142.3;Hep G2: 118.3;RH-30: 260.0
FHIT	AP3Aase, FRA3B	ENSG00000189283	Fragile histidine triad	3	59749310-61251459	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB002684, HPA018840, HPA018909	Enhanced		Approved	Nucleoli fibrillar center<br>Plasma membrane	Renal cancer:1.36e-4 (favourable)	Mixed	Expressed in all			kidney: 26.8	Cell line enhanced		U-266/70: 27.6
FIP1L1	DKFZp586K0717, FIP1	ENSG00000145216	Factor interacting with PAPOLA and CPSF1	4	53377643-53460861	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA037475, HPA058202	Enhanced		Enhanced	Nucleoplasm	Liver cancer:1.51e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 69.8	Expressed in all		
FLI1	EWSR2, SIC-1	ENSG00000151702	Fli-1 proto-oncogene, ETS transcription factor	11	128686535-128813267	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA073099			Supported	Nucleus<br>Nuclear bodies	Renal cancer:4.60e-4 (unfavourable)	Expressed in all	Tissue enhanced		spleen: 46.1	placenta: 15.6	Cell line enhanced		HEL: 93.0;HUVEC TERT2: 46.8;REH: 44.4;TIME: 47.8
FLT3	CD135, FLK2, STK1	ENSG00000122025	Fms related tyrosine kinase 3	13	28003274-28100592	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA047539			Approved	Endoplasmic reticulum		Tissue enhanced	Tissue enhanced		lymph node: 7.0;spleen: 7.7	appendix: 3.9	Group enriched	14	REH: 38.7;THP-1: 17.4
FLT4	PCL, VEGFR3	ENSG00000037280	Fms related tyrosine kinase 4	5	180601506-180649624	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB000099, HPA046519, HPA067906	Approved		Enhanced	Nuclear speckles<br>Plasma membrane<br>Cell Junctions		Expressed in all	Mixed			spleen: 18.3	Cell line enhanced		BEWO: 11.8;HEK93: 14.1;T-47d: 13.7;TIME: 12.7
FNBP1	FBP17, KIAA0554	ENSG00000187239	Formin binding protein 1	9	129887187-130043194	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA019635, HPA019691, HPA022119	Enhanced				Renal cancer:8.45e-5 (unfavourable)	Expressed in all	Expressed in all			lymph node: 90.7	Mixed		
