coordinates	refseqid	gene	circn	hallm	biom_desc	run_hal01_test1a	run_697_r_test1a	run_hal01_r_test1a	run_hal01_r_test1c	run_hal01_test1c	run_hal01_test1d	run_hal01_test1b	run_697_r_test1c	run_hal01_r_test1b	run_697_test1c	run_697_r_test1b	run_697_test1e	run_697_r_test1d	run_hal01_r_test1d	run_697_test1a	run_697_test1d	
chr11:118245610-118247409	NM_001204077	UBE4A	unknown	_SPERMATOGENESIS	ubiquitination_factor_E4A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:118352429-118353210	NM_001197104	KMT2A	unknown	_SPERMATOGENESIS	lysine_methyltransferase_2A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:118360506-118363945	NM_001197104	KMT2A	hsa_circ_0024444	_SPERMATOGENESIS	lysine_methyltransferase_2A_	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr11:118365002-118372572	NM_001197104	KMT2A	hsa_circ_0024457	_SPERMATOGENESIS	lysine_methyltransferase_2A_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:118368650-118370135	NM_001197104	KMT2A	hsa_circ_0004195	_SPERMATOGENESIS	lysine_methyltransferase_2A_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:118378243-118382740	NM_001197104	KMT2A	unknown	_SPERMATOGENESIS	lysine_methyltransferase_2A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:118379850-118382740	NM_001197104	KMT2A	hsa_circ_0024466	_SPERMATOGENESIS	lysine_methyltransferase_2A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:118390332-118390779	NM_001197104	KMT2A	unknown	_SPERMATOGENESIS	lysine_methyltransferase_2A_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:118422500-118430579	NM_001168618	IFT46	hsa_circ_0007372	_SPERMATOGENESIS	intraflagellar_transport_46_	0	10	5	5	0	0	0	10	5	0	10	0	10	5	0	0
chr11:118425173-118430579	NM_001168618	IFT46	hsa_circ_0008157	_SPERMATOGENESIS	intraflagellar_transport_46_	0	6	2	2	0	0	0	6	2	2	6	2	6	2	2	2
chr11:118454523-118455359	NM_001142281	ARCN1	hsa_circ_0005589	_PROTEIN_SECRETION	archain_1_	0	2	7	7	0	0	0	2	7	0	2	0	2	7	0	0
chr11:118650340-118651893	NM_001257191	DDX6	unknown	_PROTEIN_SECRETION	DEAD-box_helicase_6_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:118650340-118657227	NM_001257191	DDX6	hsa_circ_0006588	_PROTEIN_SECRETION	DEAD-box_helicase_6_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:118656760-118657227	NM_001257191	DDX6	hsa_circ_0004293	_PROTEIN_SECRETION	DEAD-box_helicase_6_	0	5	8	8	0	0	0	5	8	0	5	0	5	8	0	0
chr11:119002244-119003929	NM_001243259	HINFP	hsa_circ_0006932	_PROTEIN_SECRETION	histone_H4_transcription_factor_	0	2	7	7	0	0	0	2	7	0	2	0	2	7	0	0
chr11:119144577-119145663	NM_005188	CBL	hsa_circ_0000362	_KRAS_SIGNALING_UP	Cbl_proto-oncogene_	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr11:119155678-119156276	NM_005188	CBL	unknown	_KRAS_SIGNALING_UP	Cbl_proto-oncogene_	3	2	2	2	3	3	3	2	2	3	2	3	2	2	3	3
chr11:119167627-119168191	NM_005188	CBL	unknown	_KRAS_SIGNALING_UP	Cbl_proto-oncogene_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:11971551-11971880	NM_017944	USP47	unknown	_KRAS_SIGNALING_UP	ubiquitin_specific_peptidase_47_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:120337902-120348235	NM_001198665	ARHGEF12	unknown	_MITOTIC_SPINDLE	Rho_guanine_nucleotide_exchange_factor_12_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:120343758-120348235	NM_001198665	ARHGEF12	hsa_circ_0009021	_MITOTIC_SPINDLE	Rho_guanine_nucleotide_exchange_factor_12_	2	4	2	2	2	2	2	4	2	0	4	0	4	2	0	0
chr11:120345268-120348235	NM_001198665	ARHGEF12	hsa_circ_0002100	_MITOTIC_SPINDLE	Rho_guanine_nucleotide_exchange_factor_12_	3	9	13	13	3	3	3	9	13	0	9	0	9	13	0	0
chr11:120347369-120348235	NM_001198665	ARHGEF12	hsa_circ_0002089	_MITOTIC_SPINDLE	Rho_guanine_nucleotide_exchange_factor_12_	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr11:120916382-120924441	NM_001130047	TBCEL	hsa_circ_0000365	_MITOTIC_SPINDLE	tubulin_folding_cofactor_E_like_	0	5	3	3	0	0	0	5	3	0	5	0	5	3	0	0
chr11:120916382-120930794	NM_001130047	TBCEL	hsa_circ_0003302	_MITOTIC_SPINDLE	tubulin_folding_cofactor_E_like_	0	2	7	7	0	0	0	2	7	2	2	2	2	7	2	2
chr11:121444949-121448109	NM_003105	SORL1	hsa_circ_0024682	_MITOTIC_SPINDLE	sortilin_related_receptor_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:122582879-122585585	NM_032873	UBASH3B	unknown	_MITOTIC_SPINDLE	ubiquitin_associated_and_SH3_domain_containing_B_	0	9	4	4	0	0	0	9	4	0	9	0	9	4	0	0
chr11:122621667-122667741	NM_032873	UBASH3B	unknown	_MITOTIC_SPINDLE	ubiquitin_associated_and_SH3_domain_containing_B_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:122646926-122647918	NM_032873	UBASH3B	hsa_circ_0003391	_MITOTIC_SPINDLE	ubiquitin_associated_and_SH3_domain_containing_B_	9	29	28	28	9	9	9	29	28	6	29	6	29	28	6	6
chr11:122646926-122660016	NM_032873	UBASH3B	hsa_circ_0007575	_MITOTIC_SPINDLE	ubiquitin_associated_and_SH3_domain_containing_B_	2	3	2	2	2	2	2	3	2	0	3	0	3	2	0	0
chr11:122646926-122669742	NM_032873	UBASH3B	hsa_circ_0024701	_MITOTIC_SPINDLE	ubiquitin_associated_and_SH3_domain_containing_B_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:122646926-122672040	NM_032873	UBASH3B	unknown	_MITOTIC_SPINDLE	ubiquitin_associated_and_SH3_domain_containing_B_	0	3	4	4	0	0	0	3	4	0	3	0	3	4	0	0
chr11:122665409-122667741	NM_032873	UBASH3B	unknown	_MITOTIC_SPINDLE	ubiquitin_associated_and_SH3_domain_containing_B_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:11227498-11230128	NM_004958	MTOR	unknown	_SPERMATOGENESIS	mechanistic_target_of_rapamycin_kinase_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:124856637-124875108	NM_025004	CCDC15	unknown	_SPERMATOGENESIS	coiled-coil_domain_containing_15_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:125499126-125503246	NM_001114122	CHEK1	hsa_circ_0002332	_G2M_CHECKPOINT	checkpoint_kinase_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:11259314-11276291	NM_004958	MTOR	unknown	_SPERMATOGENESIS	mechanistic_target_of_rapamycin_kinase_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:11259597-11288975	NM_004958	MTOR	unknown	_SPERMATOGENESIS	mechanistic_target_of_rapamycin_kinase_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:126275990-126283543	NM_001254757	ST3GAL4	hsa_circ_0024825	_IL2_STAT5_SIGNALING	ST3_beta-galactoside_alpha-2,3-sialyltransferase_4_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:128354717-128354966	NM_001162422	ETS1	unknown	_HYPOXIA	ETS_proto-oncogene_1,_transcription_factor_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:128628009-128638167	NM_001271012	FLI1	hsa_circ_0000368	_HYPOXIA	Fli-1_proto-oncogene,_ETS_transcription_factor_	0	11	5	5	0	0	0	11	5	0	11	0	11	5	0	0
chr11:128628009-128642880	NM_001271012	FLI1	hsa_circ_0000369	_HYPOXIA	Fli-1_proto-oncogene,_ETS_transcription_factor_	0	13	9	9	0	0	0	13	9	0	13	0	13	9	0	0
chr11:128628009-128651918	NM_001271012	FLI1	hsa_circ_0000370	_HYPOXIA	Fli-1_proto-oncogene,_ETS_transcription_factor_	0	15	9	9	0	0	0	15	9	0	15	0	15	9	0	0
chr11:128628009-128679099	NM_001271012	FLI1	unknown	_HYPOXIA	Fli-1_proto-oncogene,_ETS_transcription_factor_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:128638012-128642880	NM_001271012	FLI1	hsa_circ_0007153	_HYPOXIA	Fli-1_proto-oncogene,_ETS_transcription_factor_	0	6	6	6	0	0	0	6	6	0	6	0	6	6	0	0
chr11:128638012-128651918	NM_001271012	FLI1	hsa_circ_0024834	_HYPOXIA	Fli-1_proto-oncogene,_ETS_transcription_factor_	0	10	7	7	0	0	0	10	7	0	10	0	10	7	0	0
chr11:128963515-129034322	NM_001142685	ARHGAP32	hsa_circ_0024843	_HYPOXIA	Rho_GTPase_activating_protein_32_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:128993340-128994789	NM_001142685	ARHGAP32	hsa_circ_0000371	_HYPOXIA	Rho_GTPase_activating_protein_32_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:128993340-128997200	NM_001142685	ARHGAP32	hsa_circ_0005027	_HYPOXIA	Rho_GTPase_activating_protein_32_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:128993340-129034322	NM_001142685	ARHGAP32	hsa_circ_0007843	_HYPOXIA	Rho_GTPase_activating_protein_32_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:129979323-129980556	NM_001142276	APLP2	hsa_circ_0000372	_ADIPOGENESIS	amyloid_beta_precursor_like_protein_2_	0	4	5	5	0	0	0	4	5	0	4	0	4	5	0	0
chr11:130130750-130131824	NM_014155	ZBTB44	hsa_circ_0002484	_ADIPOGENESIS	zinc_finger_and_BTB_domain_containing_44_	15	28	19	19	15	15	15	28	19	11	28	11	28	19	11	11
chr11:1307231-1317024	NM_019009	TOLLIP	hsa_circ_0008301	_ADIPOGENESIS	toll_interacting_protein_	0	2	7	7	0	0	0	2	7	0	2	0	2	7	0	0
chr1:11307681-11308151	NM_004958	MTOR	unknown	_SPERMATOGENESIS	mechanistic_target_of_rapamycin_kinase_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:113196219-113202401	NM_006135	CAPZA1	hsa_circ_0000109	_SPERMATOGENESIS	capping_actin_protein_of_muscle_Z-line_subunit_alpha_1_	0	5	18	18	0	0	0	5	18	0	5	0	5	18	0	0
chr11:134128408-134132516	NM_014384	ACAD8	unknown	_SPERMATOGENESIS	acyl-CoA_dehydrogenase_family_member_8_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:113655100-113662145	NM_014813	LRIG2	hsa_circ_0013584	_SPERMATOGENESIS	leucine_rich_repeats_and_immunoglobulin_like_domains_2_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:114189107-114216087	NM_001142782	MAGI3	unknown	_SPERMATOGENESIS	membrane_associated_guanylate_kinase,_WW_and_PDZ_domain_containing_3_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:114214355-114216087	NM_001142782	MAGI3	hsa_circ_0006583	_SPERMATOGENESIS	membrane_associated_guanylate_kinase,_WW_and_PDZ_domain_containing_3_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:114319831-114320430	NM_018364	RSBN1	hsa_circ_0013607	_SPERMATOGENESIS	round_spermatid_basic_protein_1_	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr1:114372213-114377061	NM_001193431	PTPN22	hsa_circ_0000110	_SPERMATOGENESIS	protein_tyrosine_phosphatase,_non-receptor_type_22_	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr1:114391161-114397671	NM_001193431	PTPN22	hsa_circ_0000111	_SPERMATOGENESIS	protein_tyrosine_phosphatase,_non-receptor_type_22_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:114440461-114444507	NR_037864	AP4B1-AS1	hsa_circ_0000112	_SPERMATOGENESIS	AP4B1_antisense_RNA_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:114441339-114444507	NR_037864	AP4B1-AS1	unknown	_SPERMATOGENESIS	AP4B1_antisense_RNA_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:14529201-14532497	NM_002786	PSMA1	hsa_circ_0021332	_MYC_TARGETS_V1	proteasome_subunit_alpha_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:115005725-115007010	NM_015906	TRIM33	hsa_circ_0004127	_TGF_BETA_SIGNALING	tripartite_motif_containing_33_	2	9	7	7	2	2	2	9	7	4	9	4	9	7	4	4
chr1:115276352-115280693	NM_001007553	CSDE1	hsa_circ_0000115	_TGF_BETA_SIGNALING	cold_shock_domain_containing_E1_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr1:11561046-11562954	NM_020780	DISP3	unknown	_TGF_BETA_SIGNALING	dispatched_RND_transporter_family_member_3_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:1158623-1159348	NM_016176	SDF4	hsa_circ_0000002	_TGF_BETA_SIGNALING	stromal_cell_derived_factor_4_	4	2	5	5	4	4	4	2	5	0	2	0	2	5	0	0
chr1:117086932-117087226	NM_001779	CD58	unknown	_TGF_BETA_SIGNALING	CD58_molecule_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr11:17153462-17167489	NM_002645	PIK3C2A	hsa_circ_0021396	_TGF_BETA_SIGNALING	phosphatidylinositol-4-phosphate_3-kinase_catalytic_subunit_type_2_alpha_	0	6	3	3	0	0	0	6	3	2	6	2	6	3	2	2
chr11:17316870-17323417	NM_005013	NUCB2	unknown	_TGF_BETA_SIGNALING	nucleobindin_2_	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr1:11769331-11772486	NM_198545	DRAXIN	unknown	_TGF_BETA_SIGNALING	dorsal_inhibitory_axon_guidance_protein_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:11771907-11775265	NM_198545	DRAXIN	unknown	_TGF_BETA_SIGNALING	dorsal_inhibitory_axon_guidance_protein_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:11771910-11775265	NM_198545	DRAXIN	unknown	_TGF_BETA_SIGNALING	dorsal_inhibitory_axon_guidance_protein_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:17940245-18031686	NM_012139	SERGEF	unknown	_TGF_BETA_SIGNALING	secretion_regulating_guanine_nucleotide_exchange_factor_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:117944807-117948267	NM_006699	MAN1A2	hsa_circ_0000116	_TGF_BETA_SIGNALING	mannosidase_alpha_class_1A_member_2_	5	3	0	0	5	5	5	3	0	0	3	0	3	0	0	0
chr1:117944807-117957453	NM_006699	MAN1A2	hsa_circ_0000117	_TGF_BETA_SIGNALING	mannosidase_alpha_class_1A_member_2_	10	15	13	13	10	10	10	15	13	4	15	4	15	13	4	4
chr1:117944807-117963271	NM_006699	MAN1A2	hsa_circ_0000118	_TGF_BETA_SIGNALING	mannosidase_alpha_class_1A_member_2_	40	16	11	11	40	40	40	16	11	22	16	22	16	11	22	22
chr1:117944807-117984947	NM_006699	MAN1A2	hsa_circ_0000119	_TGF_BETA_SIGNALING	mannosidase_alpha_class_1A_member_2_	16	4	3	3	16	16	16	4	3	10	4	10	4	3	10	10
chr1:117984852-118009049	NM_006699	MAN1A2	hsa_circ_0013743	_TGF_BETA_SIGNALING	mannosidase_alpha_class_1A_member_2_	2	2	2	2	2	2	2	2	2	0	2	0	2	2	0	0
chr1:117998706-118009049	NM_006699	MAN1A2	hsa_circ_0009028	_TGF_BETA_SIGNALING	mannosidase_alpha_class_1A_member_2_	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr1:118003110-118045592	NM_006699	MAN1A2	hsa_circ_0002059	_TGF_BETA_SIGNALING	mannosidase_alpha_class_1A_member_2_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:18010143-18029623	NM_012139	SERGEF	hsa_circ_0021412	_TGF_BETA_SIGNALING	secretion_regulating_guanine_nucleotide_exchange_factor_	0	2	6	6	0	0	0	2	6	0	2	0	2	6	0	0
chr11:18305341-18307006	NM_007216	HPS5	hsa_circ_0007484	_TGF_BETA_SIGNALING	HPS5,_biogenesis_of_lysosomal_organelles_complex_2_subunit_2_	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr11:18312988-18314523	NM_007216	HPS5	hsa_circ_0000280	_TGF_BETA_SIGNALING	HPS5,_biogenesis_of_lysosomal_organelles_complex_2_subunit_2_	8	10	24	24	8	8	8	10	24	0	10	0	10	24	0	0
chr11:18373427-18382254	NM_001142307	GTF2H1	unknown	_MTORC1_SIGNALING	general_transcription_factor_IIH_subunit_1_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:118454615-118461358	NM_017686	GDAP2	hsa_circ_0006188	_MTORC1_SIGNALING	ganglioside_induced_differentiation_associated_protein_2_	0	6	0	0	0	0	0	6	0	2	6	2	6	0	2	2
chr11:18528403-18531212	NM_006292	TSG101	hsa_circ_0021461	_DNA_REPAIR	tumor_susceptibility_101_	0	2	4	4	0	0	0	2	4	0	2	0	2	4	0	0
chr11:18591760-18600355	NM_001261385	UEVLD	hsa_circ_0021472	_DNA_REPAIR	UEV_and_lactate/malate_dehyrogenase_domains_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:1191424-1203372	NM_058167	UBE2J2	hsa_circ_0009246	_DNA_REPAIR	ubiquitin_conjugating_enzyme_E2_J2_	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr1:1192371-1192690	NM_058167	UBE2J2	hsa_circ_0008063	_DNA_REPAIR	ubiquitin_conjugating_enzyme_E2_J2_	3	7	6	6	3	3	3	7	6	0	7	0	7	6	0	0
chr1:12008032-12010577	NM_000302	PLOD1	hsa_circ_0009879	_EPITHELIAL_MESENCHYMAL_TRANSITION	procollagen-lysine,2-oxoglutarate_5-dioxygenase_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:20417348-20419267	NM_001145166	PRMT3	hsa_circ_0021500	_MYC_TARGETS_V2	protein_arginine_methyltransferase_3_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr11:20417348-20515800	NM_001145166	PRMT3	unknown	_MYC_TARGETS_V2	protein_arginine_methyltransferase_3_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:20424464-20429578	NM_001145166	PRMT3	unknown	_MYC_TARGETS_V2	protein_arginine_methyltransferase_3_	2	3	7	7	2	2	2	3	7	0	3	0	3	7	0	0
chr11:20470386-20486092	NM_001145166	PRMT3	unknown	_MYC_TARGETS_V2	protein_arginine_methyltransferase_3_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr1:12049221-12052747	NM_001127660	MFN2	hsa_circ_0009910	_OXIDATIVE_PHOSPHORYLATION	mitofusin_2_	0	5	0	0	0	0	0	5	0	0	5	0	5	0	0	0
chr1:12061457-12062160	NM_001127660	MFN2	hsa_circ_0006470	_OXIDATIVE_PHOSPHORYLATION	mitofusin_2_	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr11:20939727-20950025	NM_006157	NELL1	unknown	_OXIDATIVE_PHOSPHORYLATION	neural_EGFL_like_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:20959331-20982106	NM_006157	NELL1	unknown	_OXIDATIVE_PHOSPHORYLATION	neural_EGFL_like_1_	0	7	0	0	0	0	0	7	0	0	7	0	7	0	0	0
chr11:21563709-21567457	NM_006157	NELL1	unknown	_OXIDATIVE_PHOSPHORYLATION	neural_EGFL_like_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:22696395-22707335	NM_001143830	GAS2	hsa_circ_0021516	_OXIDATIVE_PHOSPHORYLATION	growth_arrest_specific_2_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr1:12378128-12382803	NM_015378	VPS13D	hsa_circ_0009986	_OXIDATIVE_PHOSPHORYLATION	vacuolar_protein_sorting_13_homolog_D_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr1:12460237-12476880	NM_015378	VPS13D	hsa_circ_0004222	_OXIDATIVE_PHOSPHORYLATION	vacuolar_protein_sorting_13_homolog_D_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:2991032-3010501	NM_005969	NAP1L4	unknown	_OXIDATIVE_PHOSPHORYLATION	nucleosome_assembly_protein_1_like_4_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:3140776-3150399	NM_001144063	OSBPL5	unknown	_OXIDATIVE_PHOSPHORYLATION	oxysterol_binding_protein_like_5_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:32410365-32421590	NM_001198551	WT1	unknown	_OXIDATIVE_PHOSPHORYLATION	Wilms_tumor_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:32608479-32610681	NM_006360	EIF3M	unknown	_OXIDATIVE_PHOSPHORYLATION	eukaryotic_translation_initiation_factor_3_subunit_M_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:32611092-32617593	NM_006360	EIF3M	hsa_circ_0003119	_OXIDATIVE_PHOSPHORYLATION	eukaryotic_translation_initiation_factor_3_subunit_M_	0	7	10	10	0	0	0	7	10	0	7	0	7	10	0	0
chr11:33087375-33090405	NM_018393	TCP11L1	hsa_circ_0021585	_OXIDATIVE_PHOSPHORYLATION	t-complex_11_like_1_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:33127112-33127610	NM_001326	CSTF3	hsa_circ_0000283	_DNA_REPAIR	cleavage_stimulation_factor_subunit_3_	0	5	3	3	0	0	0	5	3	0	5	0	5	3	0	0
chr11:33163212-33182915	NM_001326	CSTF3	unknown	_DNA_REPAIR	cleavage_stimulation_factor_subunit_3_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:33307958-33309057	NM_001278163	HIPK3	hsa_circ_0000284	_DNA_REPAIR	homeodomain_interacting_protein_kinase_3_	27	43	60	60	27	27	27	43	60	7	43	7	43	60	7	7
chr11:34093272-34098189	NM_203364	CAPRIN1	hsa_circ_0005974	_DNA_REPAIR	cell_cycle_associated_protein_1_	0	18	27	27	0	0	0	18	27	0	18	0	18	27	0	0
chr11:34101174-34104588	NM_203364	CAPRIN1	unknown	_DNA_REPAIR	cell_cycle_associated_protein_1_	0	2	3	3	0	0	0	2	3	0	2	0	2	3	0	0
chr11:34101174-34111003	NM_203364	CAPRIN1	hsa_circ_0000286	_DNA_REPAIR	cell_cycle_associated_protein_1_	0	3	3	3	0	0	0	3	3	0	3	0	3	3	0	0
chr11:34104371-34111003	NM_203364	CAPRIN1	hsa_circ_0021639	_DNA_REPAIR	cell_cycle_associated_protein_1_	0	3	5	5	0	0	0	3	5	0	3	0	3	5	0	0
chr11:34110941-34112225	NM_203364	CAPRIN1	hsa_circ_0021652	_DNA_REPAIR	cell_cycle_associated_protein_1_	0	4	5	5	0	0	0	4	5	0	4	0	4	5	0	0
chr11:34110941-34113603	NM_203364	CAPRIN1	hsa_circ_0002280	_DNA_REPAIR	cell_cycle_associated_protein_1_	0	4	2	2	0	0	0	4	2	0	4	0	4	2	0	0
chr11:34111725-34113603	NM_203364	CAPRIN1	hsa_circ_0004851	_DNA_REPAIR	cell_cycle_associated_protein_1_	3	6	3	3	3	3	3	6	3	0	6	0	6	3	0	0
chr11:34139726-34145947	NM_001144030	NAT10	unknown	_DNA_REPAIR	N-acetyltransferase_10_	0	2	2	2	0	0	0	2	2	0	2	0	2	2	0	0
chr11:34952950-35006275	NM_001135024	PDHX	hsa_circ_0021708	_OXIDATIVE_PHOSPHORYLATION	pyruvate_dehydrogenase_complex_component_X_	0	4	4	4	0	0	0	4	4	0	4	0	4	4	0	0
chr11:34969052-34991833	NM_001135024	PDHX	hsa_circ_0006254	_OXIDATIVE_PHOSPHORYLATION	pyruvate_dehydrogenase_complex_component_X_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:34991685-35006275	NM_001135024	PDHX	hsa_circ_0000290	_OXIDATIVE_PHOSPHORYLATION	pyruvate_dehydrogenase_complex_component_X_	0	4	5	5	0	0	0	4	5	0	4	0	4	5	0	0
chr11:35747471-35747711	NM_017583	TRIM44	unknown	_OXIDATIVE_PHOSPHORYLATION	tripartite_motif_containing_44_	0	3	4	4	0	0	0	3	4	0	3	0	3	4	0	0
chr11:36248634-36248980	NM_174902	LDLRAD3	hsa_circ_0006988	_OXIDATIVE_PHOSPHORYLATION	low_density_lipoprotein_receptor_class_A_domain_containing_3_	0	25	0	0	0	0	0	25	0	4	25	4	25	0	4	4
chr11:36415395-36424928	NM_001160167	PRR5L	hsa_circ_0005044	_OXIDATIVE_PHOSPHORYLATION	proline_rich_5_like_	0	14	0	0	0	0	0	14	0	0	14	0	14	0	0	0
chr11:36415395-36459026	NM_001160167	PRR5L	unknown	_OXIDATIVE_PHOSPHORYLATION	proline_rich_5_like_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:36422546-36459026	NM_001160167	PRR5L	unknown	_OXIDATIVE_PHOSPHORYLATION	proline_rich_5_like_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:3707202-3716836	NM_016320	NUP98	hsa_circ_0020857	_G2M_CHECKPOINT	nucleoporin_98_	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	0
chr11:3723692-3774638	NM_016320	NUP98	hsa_circ_0020871	_G2M_CHECKPOINT	nucleoporin_98_	0	3	2	2	0	0	0	3	2	0	3	0	3	2	0	0
chr11:3740641-3746449	NM_016320	NUP98	unknown	_G2M_CHECKPOINT	nucleoporin_98_	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
chr11:3748304-3774638	NM_016320	NUP98	unknown	_G2M_CHECKPOINT	nucleoporin_98_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
chr11:3752620-3752808	NM_016320	NUP98	hsa_circ_0002350	_G2M_CHECKPOINT	nucleoporin_98_	0	5	8	8	0	0	0	5	8	0	5	0	5	8	0	0
chr11:3752620-3774638	NM_016320	NUP98	hsa_circ_0000274	_G2M_CHECKPOINT	nucleoporin_98_	2	16	15	15	2	2	2	16	15	0	16	0	16	15	0	0
chr11:3789810-3797251	NM_016320	NUP98	hsa_circ_0007401	_G2M_CHECKPOINT	nucleoporin_98_	0	7	12	12	0	0	0	7	12	2	7	2	7	12	2	2
chr11:3794861-3797251	NM_016320	NUP98	hsa_circ_0004960	_G2M_CHECKPOINT	nucleoporin_98_	2	10	8	8	2	2	2	10	8	0	10	0	10	8	0	0
chr1:14042035-14075982	NM_001135610	PRDM2	unknown	_UV_RESPONSE_DN	PR/SET_domain_2_	0	4	0	0	0	0	0	4	0	0	4	0	4	0	0	0
